ID,Handle,Title,Description,SKU,Price_Regular,Price_Sale,On_Sale,Discount_Percent,Currency,Category,Brands,Primary_Brand,Tags,Main_Image,Gallery_Images,Is_Combo,Stock_Status,Stock_Quantity,Weight,Dimensions,Created_At,Updated_At
36,kit-of-3-fragrances-3,3-Piece Premium Fragrance Collection Set 3,Description for Combo Of 3 Fragrances 3,FRAG-0036-08B5A6,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-3-main.png,,true,,,,,2025-08-23T22:37:57.914882,2025-08-23T22:45:54.489818
37,kit-of-3-fragrances-4,3-Piece Premium Fragrance Collection Set 4,Description for Combo Of 3 Fragrances 4,FRAG-0037-AD40CE,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-4-main.png,,true,,,,,2025-08-23T22:37:57.915110,2025-08-23T22:45:54.489953
38,kit-of-3-fragrances-5,3-Piece Premium Fragrance Collection Set 5,Description for Combo Of 3 Fragrances 5,FRAG-0038-D75836,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-5-main.png,,true,,,,,2025-08-23T22:37:57.915362,2025-08-23T22:45:54.490105
39,kit-of-3-fragrances-6,3-Piece Premium Fragrance Collection Set 6,Description for Combo Of 3 Fragrances 6,FRAG-0039-F042FD,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-6-main.png,,true,,,,,2025-08-23T22:37:57.915573,2025-08-23T22:45:54.490236
40,kit-of-3-fragrances-7,3-Piece Premium Fragrance Collection Set 7,Description for Combo Of 3 Fragrances 7,FRAG-0040-3936BB,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-7-main.png,,true,,,,,2025-08-23T22:37:57.915873,2025-08-23T22:45:54.490406
41,kit-of-3-fragrances-8,3-Piece Premium Fragrance Collection Set 8,Description for Combo Of 3 Fragrances 8,FRAG-0041-C76D9F,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-8-main.png,,true,,,,,2025-08-23T22:37:57.916125,2025-08-23T22:45:54.490552
42,kit-of-3-fragrances-9,3-Piece Premium Fragrance Collection Set 9,Description for Combo Of 3 Fragrances 9,FRAG-0042-1B4A79,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-9-main.png,,true,,,,,2025-08-23T22:37:57.916293,2025-08-23T22:45:54.490682
43,kit-3-parfums-good-girl-carolina-herreral-nº5-ch,"3-Piece Fragrance Set: Good Girl Carolina Herrera, Nº5 Chanel & Fame Paco Rabanne",Description for Combo 3 Parfums Good Girl Carolina Herreral Nº5 Ch,FRAG-0043-4178B4,49.9,,false,0,GBP,Fragrance Sets,Carolina Herrera,Carolina Herrera,Carolina Herrera; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/combo-3-parfums-good-girl-carolina-herreral-nº5-ch-main.png,,true,,,,,2025-08-23T22:37:57.916510,2025-08-23T22:45:54.490864
44,kit-of-3-fragrances,3-Piece Premium Fragrance Collection,Description for Combo Of 3 Fragrances,FRAG-0044-44B144,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-main.png,,true,,,,,2025-08-23T22:37:57.916664,2025-08-23T22:45:54.490996
45,kit-of-3-fragrances-copia,3-Piece Premium Fragrance Collection - Special Edition,Description for Combo Of 3 Fragrances Copia,FRAG-0045-36437D,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-special-edition-main.png,,true,,,,,2025-08-23T22:37:57.916822,2025-08-23T22:45:54.491099
46,good-girl-carolina-herrera-la-vie-est-belle-lancom,"3-Piece Fragrance Set: Good Girl, La Vie Est Belle & 212 VIP Rose",Description for Good Girl Carolina Herrera La Vie Est Belle Lancom,FRAG-0046-558D5E,49.9,,false,0,GBP,Fragrance Sets,Carolina Herrera,Carolina Herrera,Carolina Herrera; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/good-girl-carolina-herrera-la-vie-est-belle-lancom-main.png,,true,,,,,2025-08-23T22:37:57.917033,2025-08-23T22:45:54.491106
47,invictus-legend-paco-rabanne-invictus-paco-rabanne,"3-Piece Fragrance Set: Invictus Legend, Invictus & Invictus Victory Elixir",Description for Invictus Legend Paco Rabanne Invictus Paco Rabanne,FRAG-0047-C7AB9B,49.9,,false,0,GBP,Fragrance Sets,Paco Rabanne,Paco Rabanne,Paco Rabanne; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/invictus-legend-paco-rabanne-invictus-paco-rabanne-main.png,,true,,,,,2025-08-23T22:37:57.917212,2025-08-23T22:45:54.491111
